id,title,url,topic
huwi-cjPPXU,Introduce Yourself in Slow German | Super Easy German 258,https://www.youtube.com/watch?v=huwi-cjPPXU,Other
Yaelm87PTvg,Introduce yourself in German (for absolute beginners) | Super Easy German (76),https://www.youtube.com/watch?v=Yaelm87PTvg,Other
hAkxKMlYUI4,German Alphabet & Pronunciation - Full Guide | Super Easy German 253,https://www.youtube.com/watch?v=hAkxKMlYUI4,Other
LQiHX6OY_BI,Our Morning Routine in Slow German | Super Easy German 232,https://www.youtube.com/watch?v=LQiHX6OY_BI,Other
aRlakaPVrEw,Learn Basic German Greetings & Farewells in Slow German | Super Easy German 274,https://www.youtube.com/watch?v=aRlakaPVrEw,Other
9h8p08qziG0,"Conjugation of regular verbs: Sagen, Machen, Hören | Super Easy German (83)",https://www.youtube.com/watch?v=9h8p08qziG0,Verbs → Common verbs
uO0jWxhVW1A,Easy German - Basic Conversation Phrases 1,https://www.youtube.com/watch?v=uO0jWxhVW1A,Other
QNq1Xp6DgJw,Easy German - Basic Conversation Phrases 2,https://www.youtube.com/watch?v=QNq1Xp6DgJw,Other
Q3eCDhwMRv8,How to learn the German Plural endings | Super Easy German (127),https://www.youtube.com/watch?v=Q3eCDhwMRv8,Other
tNrwiUGHMiU,Emotions in Slow German | Super Easy German 263,https://www.youtube.com/watch?v=tNrwiUGHMiU,Other
MqqHc6lRQG4,Winter in Berlin in Slow German | Super Easy German 273,https://www.youtube.com/watch?v=MqqHc6lRQG4,Other
r94aqLUO0wo,Introduce yourself in Slow German | Super Easy German (1),https://www.youtube.com/watch?v=r94aqLUO0wo,Other
QCGdeH4hYdo,Counting in German from 1 - 100 | Super Easy German 178,https://www.youtube.com/watch?v=QCGdeH4hYdo,Other
NsqA8_SmdVI,How to Tell the Time in German | Super Easy German 183,https://www.youtube.com/watch?v=NsqA8_SmdVI,Other
o-Zu-bUlPb4,Possessive Pronouns in German | Super Easy German 223,https://www.youtube.com/watch?v=o-Zu-bUlPb4,Other
ITjyfCAspco,How to Remember Possessive Article Endings | Super Easy German 225,https://www.youtube.com/watch?v=ITjyfCAspco,Other
8QTb4is_fKw,"Hoch, höher am höchsten! | Super Easy German (63)",https://www.youtube.com/watch?v=8QTb4is_fKw,Other
RvcmpwHG1eQ,The Weather | Super Easy German (14),https://www.youtube.com/watch?v=RvcmpwHG1eQ,Other
OFSHdj_2FQA,Ordering in a Restaurant in Slow German | Super Easy German 236,https://www.youtube.com/watch?v=OFSHdj_2FQA,Nouns → Food & Restaurant
h5085YiFRnI,How to order drinks in German | Super Easy German (109),https://www.youtube.com/watch?v=h5085YiFRnI,Other
qYtsk5yH_nw,Our Lunch Break in Slow German | Super Easy German 265,https://www.youtube.com/watch?v=qYtsk5yH_nw,Other
jUOvnHOsvXM,How to order Coffee in Germany? | Super Easy German (99),https://www.youtube.com/watch?v=jUOvnHOsvXM,Other
3a__H9ejF4s,Having Breakfast in Slow German | Super Easy German 233,https://www.youtube.com/watch?v=3a__H9ejF4s,Other
D91icSuPYQ4,Supermarket in Slow German | Super Easy German 288,https://www.youtube.com/watch?v=D91icSuPYQ4,Other
kQPvtHeUUfU,Typical German Dinner in Slow German | Super Easy German 254,https://www.youtube.com/watch?v=kQPvtHeUUfU,Other
bonBD3n2cy8,What Germans Buy at the Supermarket | Easy German 362,https://www.youtube.com/watch?v=bonBD3n2cy8,Other
yCV4h5kDwbM,Grocery shopping in German | Super Easy German (33),https://www.youtube.com/watch?v=yCV4h5kDwbM,Other
kcixi0Vfg-I,Our Daily Chores in Slow German | Super Easy German 249,https://www.youtube.com/watch?v=kcixi0Vfg-I,Other
N9iYnpvkOcA,Learning Fruits in German | Super Easy German (45),https://www.youtube.com/watch?v=N9iYnpvkOcA,Other
hunvSsyEeBU,Imperatives: How to Phrase Orders and Requests in German | Super Easy German 180,https://www.youtube.com/watch?v=hunvSsyEeBU,Other
r8HiWsBe5ko,100 Words You Should Know When Coming to Germany | Super Easy German 203,https://www.youtube.com/watch?v=r8HiWsBe5ko,Other
KoupCFKNXUo,Small Talk (in Slow German) | Easy German Live,https://www.youtube.com/watch?v=KoupCFKNXUo,Other
eKLtI48rvtw,Top 50 Everyday Objects in Slow German | Super Easy German 244,https://www.youtube.com/watch?v=eKLtI48rvtw,Other
3MiTl52EKd8,Easy German Basic Phrases - Introducing Yourself,https://www.youtube.com/watch?v=3MiTl52EKd8,Other
qSGUD9WYRwE,Walk Through Our Neighborhood in Slow German | Super Easy German 228,https://www.youtube.com/watch?v=qSGUD9WYRwE,Other
qnLj-KV9WaQ,How to describe your body in German | Super Easy German (117),https://www.youtube.com/watch?v=qnLj-KV9WaQ,Other
5LsSHezUUKQ,German Clothing Vocabulary | Super Easy German 170,https://www.youtube.com/watch?v=5LsSHezUUKQ,Other
xbWOui-V-U4,All German Cases | Super Easy German (55),https://www.youtube.com/watch?v=xbWOui-V-U4,Other
cYMSTF8iQWw,Easy German Cases - German Cases by Pia and Lisa,https://www.youtube.com/watch?v=cYMSTF8iQWw,Other
aZTUJm8O2Ds,12 Verbs + Accusative Beginners Should Know | Super Easy German 259,https://www.youtube.com/watch?v=aZTUJm8O2Ds,Other
Uab5EC28h1w,How to use Accusative and Dative in German | Super Easy German (122),https://www.youtube.com/watch?v=Uab5EC28h1w,Grammar → Cases
IQvtG8deSe0,Easy German Cases - Nominativ (Super SLOMO with Pia and Lisa),https://www.youtube.com/watch?v=IQvtG8deSe0,Grammar → Cases
1cREa7o2EPQ,German cases: Accusative | Easy German 127,https://www.youtube.com/watch?v=1cREa7o2EPQ,Other
A3kDyxMO2xI,GERMAN ACCUSATIVE | Super Easy German (16),https://www.youtube.com/watch?v=A3kDyxMO2xI,Other
ZgmVwPjTtM4,What do I see in the Streets (accusative exercise) | Super Easy German (41),https://www.youtube.com/watch?v=ZgmVwPjTtM4,Other
MppF9phHkzI,German Cases Drill (Nominative + Accusative) | Super Easy German (121),https://www.youtube.com/watch?v=MppF9phHkzI,Grammar → Cases
CDgG2K7Kbbs,Präpositionen mit Dativ | Super Easy German (40),https://www.youtube.com/watch?v=CDgG2K7Kbbs,Grammar → Cases
GT6ZDpB_7rA,Mit + Dative | Super Easy German (72),https://www.youtube.com/watch?v=GT6ZDpB_7rA,Grammar → Cases
tj_YhY2RMxs,"Irregular Verbs: Haben, Sein, Gehen | Super Easy German (90)",https://www.youtube.com/watch?v=tj_YhY2RMxs,Verbs → Common verbs
VTN-Qys9fCA,100 Everyday Sentences with the Verb “Haben” | Easy German 589,https://www.youtube.com/watch?v=VTN-Qys9fCA,Verbs → Common verbs
wqw336j-F3E,German Verbs: Sein | Super Easy German (149),https://www.youtube.com/watch?v=wqw336j-F3E,Verbs → Common verbs
an232kkTEMk,102 Everyday Sentences With the Verb “Sein” | Easy German 591,https://www.youtube.com/watch?v=an232kkTEMk,Verbs → Common verbs
J4Y5os6gHxI,German Verbs: Gehen | Super Easy German (147),https://www.youtube.com/watch?v=J4Y5os6gHxI,Verbs → Common verbs
Bo3YyLmzS9E,German Verbs: Fahren | Super Easy German (146),https://www.youtube.com/watch?v=Bo3YyLmzS9E,Other
WxK_boaYVik,German Verbs: Finden | Super Easy German (151),https://www.youtube.com/watch?v=WxK_boaYVik,Other
D12qgTxjC3c,German Verbs: Geben | Super Easy German (148),https://www.youtube.com/watch?v=D12qgTxjC3c,Other
AOQ5X-ayjWE,German Verbs: Wissen | Super Easy German (153),https://www.youtube.com/watch?v=AOQ5X-ayjWE,Verbs → Common verbs
lZXGpjKHHo8,Irregular Verbs: Mögen | Super Easy German (103),https://www.youtube.com/watch?v=lZXGpjKHHo8,Verbs → Common verbs
o7cMNtORT4I,German Verbs: Machen | Super Easy German (142),https://www.youtube.com/watch?v=o7cMNtORT4I,Verbs → Common verbs
OqvuldWHr_s,"""Wollen"" vs. ""Mögen"" vs. ""Möchten"" | Super Easy German 192",https://www.youtube.com/watch?v=OqvuldWHr_s,Verbs → Common verbs
6lTltCmgrCk,German Verbs: Können | Super Easy German (138),https://www.youtube.com/watch?v=6lTltCmgrCk,Verbs → Common verbs
dV54jc8K6MU,16 Verbs + Prepositions You Should Know (A1 Level) | Super Easy German 229,https://www.youtube.com/watch?v=dV54jc8K6MU,Other
